ISO Code,Country,File
GF,French Guiana,gf.png
HK,Hong Kong,hk.png
IM,Isle of Man,im.png
JE,Jersey,je.png
MO,Macao,mo.png
MQ,Martinique,mq.png
,New Caledonia,new-caledonia.png
BL,Saint Barthélemy,bl.png
WF,Wallis & Futuna,wf.png
EH,Western Sahara,eh.png
,Afghanistan,afghanistan.png
AX,Åland Islands,ax.jpeg
AW,Aruba,aw.jpeg
BO,Bolivia,bo.png
,Bonaire,bonaire.png
CX,Christmas Island,cx.jpeg
CC,Cocos (Keeling) Islands,cc.jpeg
CW,Curaçao,cw.jpeg
,Guadeloupe,guadeloupe.png
YT,Mayotte,yt.jpeg
NF,Norfolk Island,nf.jpeg
MP,Northern Mariana Islands,mp.jpeg
PN,Pitcairn Islands,pn.jpeg
PR,Puerto Rico,pr.jpeg
RE,Réunion,re.png
,Saint Helena,saint-helena.png
,Saint Martin,saint-martin.png
GB-ENG,England,gb-eng.png
GB-SCT,Scotland,gb-sct.png
,Northern Ireland,northern-ireland.png
GB-WLS,Wales,gb-wls.png
,South Ossetia,south-ossetia.png
,Abkhazia,abkhazia.png
,Northern Cyprus,northern-cyprus.png
,Transnistria,transnistria.png
,Somaliland,somaliland.png
,Azores,azores.jpeg
,Madeira,madeira.jpeg
,Sint Eustatius,sint-eustatius.png
,Saba,saba.png
,Tristan da Cunha,tristan-da-cunha.png
,Ascension,ascension.png
,Tibet,tibet.png
